ลำดับที่,ชื่อแหล่งธรรมชาติ,ประเภทที่,ประเภทแหล่ง,ตำบล,อำเภอ,จังหวัด,ภาค,ละติจูด,ลองจิจูด,ความสำคัญ,ลักษณะของพื้นที่
11,น้ำตกแม่กลาง,5,น้ำตก,บ้านหลวง,จอมทอง,เชียงใหม่,เหนือ,18.495278,98.667222,ทัศนียภาพสวยงามเป็นที่พักผ่อนหย่อนใจ,เป็นน้ำตกขนาดใหญ่ที่มีแอ่งน้ำขนาดใหญ่ให้ลงเล่นน้ำหลายแห่ง มีความสวยงามตามธรรมชาติ รอบ ๆ บริเวณร่มรื่นน่าพักผ่อน แต่ในช่วงฤดูฝนกระแสน้ำไหลแรงอาจเป็นอัตรายต่อการเล่นน้ำได้
12,น้ำตกแม่สา,5,น้ำตก,แม่แรม,แม่ริม,เชียงใหม่,เหนือ,18.906536,98.897165,แหล่งท่องเที่ยวสำคัญของจังหวัด,เป็นน้ำตกขนาดใหญ่ แบ่งชั้นไปตามเชิงเขาถึง 10 ชั้น ปกคลุมด้วยต้นไม้ใหญ่ทั่วบริเวณ ทำให้สภาพอากาศร่มรื่นเย็นสบายตลอดปี
13,โป่งเดือดป่าแป๋,6,โป่งน้ำพุร้อน,ป่าแป๋,แม่แตง,เชียงใหม่,เหนือ,19.241667,98.684167,แหล่งท่องเที่ยวธรรมชาติศึกษาวิทยาที่สำคัญ,เป็นน้ำพุร้อนที่ใหญ่และสูงที่สุดในประเทศไทย และเป็นแหล่งท่องเที่ยวศึกษาธรรมชาติธรณีที่สำคัญแห่งหนึ่ง
14,บ่อน้ำร้อนฝาง,6,โป่งน้ำพุร้อน,โป่งน้ำร้อน,ฝาง,เชียงใหม่,เหนือ,19.965566,99.154174,แหล่งพลังงานในโครงการพลังงานความร้อนใต้พิภพฝาง (ระยะที่ 1),เป็นแหล่งพลังงานในโครงการพลังงานความร้อนใต้พิภพฝาง (ระยะที่ 1) เเละเป็นแหล่งท่องเที่ยวศึกษาธรณีวิทยา
15,ออบหลวง,10,ธรณีสัณฐานและภูมิลักษณวรรณา,หางดง,ฮอด,เชียงใหม่,เหนือ,18.245278,98.520278,ทัศนียภาพสวยงามเป็นที่พักผ่อนหย่อนใจ,มีลักษณะเป็นช่องแคบเขาขาด ที่มีหน้าผาหินขนาบสองข้างของลําน้ำ หน้าผาวัดจากสะพานถึงระดับน้ำประมาณ 32 เมตร ส่วนแคบสุดของช่องแคบหน้าผาทั้งสองเพียง 2 เมตร ความยาวของช่องแคบประมาณ 300 เมตร บริเวณใกล้เคียงออบหลวงมีการขุดค้นพบหลักฐานทางโบราณคดี สมัยก่อนประวัติศาสตร์จํานวนมาก เช่น เครื่องมือหิน เครื่องสําริด เครื่องปั้นดินเผา โครงกระดูกมนุษย์ เป็นต้น
16,ผาจ้อ (ผาช่อ),10,ธรณีสัณฐานและภูมิลักษณวรรณา,สันติสุข,ดอยหล่อ,เชียงใหม่,เหนือ,18.517615,98.737068,แหล่งศึกษาทางธรณีวิทยา,มีลักษณะเป็นหน้าผา สูงประมาณ 30 เมตร เป็นหน้าดินลูกรังซึ่งถูกน้ำชะล้างทำให้เกิดเป็นร่อง มีลักษณะธรณีสัณฐานที่แปลกตา
17,ถ้ำหลวง-ขุนน้ำนางนอน (เขานางนอน),4,ถ้ำ,โป่งผา,แม่สาย,เชียงราย,เหนือ,20.38162,99.867115,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นถ้ำหินปูนขนาดใหญ่ ปากถ้ำเป็นห้องโถงกว้างมากภายในถ้ำจะพบกับความงามของ เกล็ดหินสะท้อนแสง หินงอก หินย้อย ธารน้ำและถ้ำลอด
18,น้ำตกขุนกรณ์,5,น้ำตก,แม่กรณ์,เมืองเชียงราย,เชียงราย,เหนือ,19.876583,99.625222,เป็นน้ำตกที่สูงที่สุดของ จ.เชียงราย,"น้ำตกแห่งนี้มีน้ำไหลตลอดปีและเป็นน้ำใสที่ไม่มีตะกอน ตัวน้ำตกสูงถึง 70 เมตร โดยมีลักษณะเป็นหน้าผาชัน เดิมชาวบ้านเรียก ""น้ำตกตาดหมอก"" ซึ่งคำว่า ""ตาด"" เป็นภาษาลาว แปลว่าน้ำตก"
19,น้ำตกปูแกง,5,น้ำตก,แม่เย็น,พาน,เชียงราย,เหนือ,19.441542,99.699073,แหล่งท่องเที่ยวและแหล่งธรรมชาติศึกษา,เป็นน้ำตกขนาดใหญ่ที่สุดในจังหวัดเชียงราย ใต้ดินมีตะกอนหินปูนปนมากับน้ำ ทำให้เกิดหินงอกหินย้อยและถ้ำตื้น ๆ สวยงามแปลกตา มีโขดหินที่เป็นลักษณะเพิงผาที่แปลกตา เป็นน้ำตกที่ไหลจากภูเขาสูงสลับซับซ้อน เกิดเป็นชั้นน้ำตกถึง 9 ชั้น มีน้ำไหลในปริมาณสม่ำเสมอตลอดปี
20,หาดทรายริมแม่น้ำกก (พัทยา 2),8,ชายหาด,รอบเวียง,เมืองเชียงราย,เชียงราย,เหนือ,19.917778,99.797222,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นสถานที่ท่องเที่ยวเเละมีทัศนียภาพที่สวยงาม
21,น้ำตกภูซาง,5,น้ำตก,ภูซาง,ภูซาง,พะเยา,เหนือ,19.663686,100.376895,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกหินปูนชั้นเดียวขนาดเล็กมีน้ำไหลสม่ำเสมอตลอดปี สูงประมาณ 25 เมตร จุดเด่นของน้ำตกภูซางอยู่ตรงที่เป็นกระแสน้ำอุ่น อุณหภูมิประมาณ 35 องศาเซลเซียส น้ำใส ไม่มีกลิ่นของกำมะถัน
22,น้ำตกจำปาทอง,5,น้ำตก,บ้านต๊ำ,เมืองพะเยา,พะเยา,เหนือ,19.2175,99.737778,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญและแหล่งศึกษาธรรมชาติ,น้ำตกจำปาทองมีต้นน้ำมาจากดอยหลวง เป็นน้ำตก 6 ชั้น ความสูงแต่ละชั้นประมาณ 20 เมตร ลักษณะสูงชัน น้ำใสสะอาดไหลสม่ำเสมอตลอดปี น้ำไหลจากโขดหินขนาดใหญ่ลงมาสู่เบื้องล่าง มีแอ่งน้ำให้ลงเล่นน้ำหลายแห่ง
23,กว๊านพะเยา,7,แหล่งน้ำ,บ้านสาง,เมืองพะเยา,พะเยา,เหนือ,19.166389,99.866667,แหล่งน้ำธรรมชาติที่สำคัญที่สุดของจังหวัด,เป็นสัญลักษณ์ของท้องถิ่นและเป็นแหล่งน้ำธรรมชาติที่สำคัญที่สุดของจังหวัด
24,ฝั่งต้า,10,ธรณีสัณฐานและภูมิลักษณวรรณา,เชียงม่วน,เชียงม่วน,พะเยา,เหนือ,18.871667,100.312222,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นหน้าผาดินสูงชันประมาณ 100 เมตร ที่เกิดจากน้ำกัดเซาะของน้ำ เป็นโครงสร้างทางธรรมชาติที่ดี หายาก
25,ถ้ำหลวงผาเวียง,4,ถ้ำ,ป่าพลู,บ้านโฮ่ง,ลำพูน,เหนือ,18.221667,98.858056,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นเอกลักษณ์หรือสัญลักษณ์ท้องถิ่น และเป็นโครงสร้างทางธรรมชาติที่ดี หายาก และยังคงความเป็นธรรมชาติ
26,น้ำตกแม่ก้อ (ก้อหลวง),5,น้ำตก,ก้อ,ลี้,ลำพูน,เหนือ,17.58357,98.817549,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกหินปูนที่ไหลมาจากลำน้ำในห้วยแม่ก้อ ดอยก้อหลวง ไหลผ่านหินดินดานเทาดำ และหินทรายของหน้าผาที่สูงต่างระดับลดหลั่นกันทั้งหมด 7 ชั้น มีน้ำไหลตลอดปี เป็นน้ำตกที่มีหินงอกหินย้อยสวยงามตาม ธรรมชาติ มีแอ่งน้ำขนาดใหญ่สีเขียวมรกต
27,ถ้ำผาไท,4,ถ้ำ,บ้านหวด,งาว,ลำปาง,เหนือ,18.6052,99.8973,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญและแหล่งศึกษาธรรมชาติ,เป็นถ้ำกึ่งแห้งมีการเกิดของหินงอกและหินย้อยอยู่น้อยมาก แต่ภายในถ้ำมีความงดงาม หน้าถ้ำเป็นห้องโถงกว้างมีหินย้อยขนาดใหญ่ ด้านขวามีพระปรมาภิไธยย่อ ปปร. ของพระบาทสมเด็จพระปกเกล้าเจ้าอยู่หัว จารึกไว้เมื่อครั้งเสด็จประพาสถ้ำ พ.ศ. 2469 มีลักษณะภูมิประเทศแบบหินปูน (Karst topography) โถงถ้ำมีโถงเดียว มีความยาว รวม 414.54 เมตร วางตัวในทิศทางตะวันตกเฉียงใต้-ตะวันออกเฉียงเหนือ (SW-NE)
28,น้ำตกวังแก้ว,5,น้ำตก,วังแก้ว,วังเหนือ,ลำปาง,เหนือ,19.318333,99.660833,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตก 11 ชั้น เกิดจากการทับถมของหินปูนที่ละลายปนมากับน้ำ ชั้นบนมีถ้ำขนาดใหญ่มีหมู่บ้านชาวเขาเผ่าเย้า และสามารถมองเห็นกว๊านพะเยาได้ด้วย
29,น้ำตกแจ้ช้อน-น้ำพุร้อนแจซ้อน,6,โป่งน้ำพุร้อน,แจ้ซ้อน,เมืองปาน,ลำปาง,เหนือ,18.836944,99.471667,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกที่เกิดจากการไหลของน้ำจากลำห้วยแม่มอญ ไหลผ่านภูมิประเทศที่มีระดับความสูงแตกต่างกันกลายเป็นน้ำตกแจ้ซ้อนที่มีความสวยงาม ประกอบด้วยชั้นน้ำตกจำนวน 6 ชั้น มีน้ำไหลตลอดปี มีแอ่งน้ำรองรับตลอดสาย และน้ำพุร้อนแจ้ซ้อนเป็นน้ำพุร้อนที่มีโครงสร้างทางธรรมชาติที่สวยงาม มีบ่อน้ำร้อน 9 บ่อ ซึ่งมีอุณหภูมิระหว่าง 75-80 องศาเซลเซียส มีธารน้ำร้อนเเละน้ำเย็นไหลมาพบกัน
30,แก่งหลวง,2,แก่ง,บ้านปิน,ลอง,แพร่,เหนือ,18.032778,99.886389,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นแก่งตามธรรมชาติ เกิดจากกระแสแม่น้ำน่านไหลผ่านโขดหินที่กระจายอยู่กลางแม่น้ำ ในหน้าน้ำจะได้ยินเสียงน้ำกระทบโขดหินดังกึกก้อง ยามหน้าแล้งจะมองเห็นแนวโขดหิน และหาดทรายสีขาวเป็นแนวยาวตามริมฝั่งแม่น้ำน่าน
31,ถ้ำผานางคอย,4,ถ้ำ,ร้องกวาง,ร้องกวาง,แพร่,เหนือ,18.369162,100.351554,เป็นสถานที่ศักดิ์สิทธิ์ของชาวบ้าน,มีความสัมพันธ์เกี่ยวกับนิทานพื้นบ้าน และเป็นสถานที่ศักดิ์สิทธิ์ของชาวบ้าน
32,น้ำตกห้วยโรง,5,น้ำตก,ห้วยโรง,ร้องกวาง,แพร่,เหนือ,18.441922,100.450282,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกขนาดเล็ก มีชั้นน้ำตก 2 ชั้น สูงประมาณ 15 เมตร สายน้ำตก ลงมาบนโขดหิน มีแอ่งน้ำรองรับ สภาพโดยรอบเป็นสวนรุกขชาติห้วยโรง
33,แพะเมืองผี,10,ธรณีสัณฐานและภูมิลักษณวรรณา,น้ำชำ,เมืองแพร่,แพร่,เหนือ,18.183333,100.208611,แหล่งศึกษาทางธรณีวิทยาและสถานที่ท่องเที่ยวสำคัญของจังหวัด,แพะเมืองผี เป็นหลักฐานทางธรณีวิทยา ซึ่งนักธรณีวิทยาประมาณค่าอายุของดินแห่งนี้ว่า อยู่ในยุค Quaternary เกิดขึ้นประมาณไม่เกิน 2 ล้านปี และเป็นสถานที่ท่องเที่ยวที่สำคัญและมีชื่องเสียงของจังหวัดเเพร่ เป็นเนินที่พังยุบลงเป็นแอ่งคล้ายกระทะหงาย ภายในแอ่งมีโคก หรือเนิน ซึ่งเกิดจากการพังทลายที่ไม่สม่ำเสมอของชั้นตะกอน ทำให้เกิดลักษณะเหมือนแท่งเสา
34,ถ้ำผาตูบ,4,ถ้ำ,ผาสิงห์,เมืองน่าน,น่าน,เหนือ,18.854167,100.736111,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นโครงสร้างทางธรรมชาติที่ดี หายาก มีทัศนียภาพที่สวยงาม และเป็นสถานที่ท่องเที่ยวของท้องถิ่น
35,ถ้ำผามอง-ถ้ำผาเวียง,4,ถ้ำ,ส้าน,เวียงสา,น่าน,เหนือ,18.455539,100.717811,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นถ้ำขนาดกลาง อยู่บนยอดเขาผาเวียง มีความลึกประมาณ 50 เมตร มีช่องแสงทะลุภายนอก ในถ้ำมีหินงอกหินย้อยสวยงาม
36,น้ำตกศิลาเพชร,5,น้ำตก,ศิลาเพชร,ปัว,น่าน,เหนือ,19.094104,100.949987,ทัศนียภาพสวยงามมีฝายน้ำย่างทดน้ำบริเวณหน้าน้ำตกเพื่อนำไปใช้ในการเกษตรของ ต.ศิลาเพชร,น้ำตกศิลาเพชรเป็นน้ำตกขนาด มี 3 ชั้น และเป็นน้ำตกที่เกิดขึ้นในลำน้ำย่างซึ่งเป็นแม่น้ำสายหลักของตำบล มีลักษณะเป็นแอ่งน้ำตกเหมาะแก่การเล่นน้ำและมีน้ำไหลตลอดปี สายน้ำตกลงมาจากหน้าผาดอยภูคาหลายชั้นลดหลั่นกันไป ภายในน้ำตกมีน้ำตกที่ใสสะอาด โขดหินอันสวยงาม
37,เสาดินนาน้อย (เสาดิน-ฮ่อมจ๊อม),10,ธรณีสัณฐานและภูมิลักษณวรรณา,เชียงของ,นาน้อย,น่าน,เหนือ,18.303937,100.753955,แหล่งศึกษาทางธรณีวิทยา,เสาดินนาน้อย มีความเป็นเอกลักษณ์หรือสัญลักษณ์ของท้องถิ่น และมีโครงสร้างทางธรรมชาติที่ดี หายากสำหรับการศึกษาสภาพธรณีวิทยา
38,น้ำตกธารารักษ์,5,น้ำตก,มหาวัน,แม่สอด,ตาก,ตะวันตก,16.569826,98.695373,ทัศนียภาพสวยงามเป็นที่พักผ่อนหย่อนใจ,เป็นน้ำตกขนาดเล็กบนหน้าผาหินปูนที่มีความชันระดับ 90 องศา มีน้ำไหลตลอดปี กลางเนินน้ำตกเป็นที่ตั้งของพระพุทธรูปปางสมาธิ ด้านข้างเป็นที่ตั้งของมหาเจดีย์ธารารักษ์ ด้านล่างเป็นอ่างเก็บน้ำขนาดเล็กสำหรับเพาะพันธุ์ปลา
39,ถ้ำแม่อุสุ,4,ถ้ำ,แม่อุสุ,ท่าสองยาง,ตาก,ตะวันตก,17.304008,98.155847,แหล่งท่องเที่ยวสำคัญของจังหวัด,เป็นถ้ำน้ำและถ้ำบกในภูเขาหินปูน ซึ่งเกิดจากลำธารไหลเซาะ ปากถ้ำกว้าง มีเพดานสูง อากาศโปร่งแต่ไม่มืด มีลำห้วยแม่อุสุไหลผ่าน ฤดูฝนระดับน้ำจะสูงมาก ภายในถ้ำมีหินงอกหินย้อยสวยงามมาก
40,น้ำตกลานสาง,5,น้ำตก,แม่ท้อ,เมืองตาก,ตาก,ตะวันตก,16.782778,99.016111,แหล่งท่องเที่ยวสำคัญของจังหวัดและเป็นแหล่งต้นน้ำลำธาร,เป็นน้ำตกในป่าลานสาง เป็นน้ำตกสูงไหลจากหน้าผา 3 ชั้น บนเทือกเขาหลวง มีความสูงประมาณ 40 เมตร น้ำตกจะไหลพุ่งออกมาจากซอกเขาแล้วไหลไปรวมตัวลงสู่แอ่งน้ำ
41,น้ำตกพาเจริญ,5,น้ำตก,ช่องแคบ,พบพระ,ตาก,ตะวันตก,16.501667,98.752778,ทัศนียภาพสวยงามเป็นที่พักผ่อนหย่อนใจ,น้ำตกพาเจริญ มีต้นน้ำมาจากห้วยนน้ำนักซึ่งมีน้ำไหลตลอดปี เป็นน้ำตกหินปูนชั้นเล็ก ๆ สามารถนั่งได้ถึง 97 ชั้น นับรวมแล้วจึงเป็นน้ำตกสูงและมีน้ำมาก
42,น้ำตกทีลอซู,5,น้ำตก,แม่จัน,อุ้มผาง,ตาก,ตะวันตก,15.926868,98.753338,น้ำตกหินปูนที่มีขนาดใหญ่ที่สุดในประเทศไทยและเป็นอันดับ 6 ของโลก,เป็นน้ำตกขนาดใหญ่ที่สวยงามมาก น้ำตกจากหน้าผาสูงชันมาก น้ำไหลแรงตลอดปีความกว้างของตัวน้ำตกประมาณ 500 เมตรไหลลดหลั่นเป็นชั้น ๆ
43,เขาสน,3,ภูเขา,โกสัมพี,เมืองกำแพงเพชร,กำแพงเพชร,กลาง,16.563056,99.305,ป่าสงวนแห่งชาติที่อยู่ใกล้ตัวจังหวัดที่สุด,เป็นเขาที่มีความสูงที่สุดในพื้นที่เขตรักษาพันธุ์สัตว์ป่าเขาสนามเพรียง เป็นป่าสงวนแห่งชาติที่มีสภาพป่าที่สมบูรณ์และเป็นป่าที่อยู่ใกล้ตัวจังหวัดมากที่สุด บนยอดเขามีสนลานกว้างและทุ่งหญ้าเขียวขจี
44,น้ำตกคลองลาน,5,น้ำตก,คลองลานพัฒนา,คลองลาน,กำแพงเพชร,กลาง,16.129807,99.275229,แหล่งท่องเที่ยวสำคัญของจังหวัด,เป็นน้ำตกขนาดกลางที่ไหลลงมาจากหน้าผากว้าง สูงประมาณ 95 เมตร กว้าง 40 เมตร ในฤดูฝนจะไหลจากลำห้วยต่าง ๆ ประมาณ 5 สาย ลงสู่แอ่งน้ำตกตามหุบเขา และเกิดเป็นวังน้ำยาว 3 กิโลเมตร แล้วจึงไหลผ่านหน้าผาลงมาเป็นน้ำตกคลองลาน
45,น้ำตกคลองน้ำไหล (น้ำตกปางควาย),5,น้ำตก,คลองน้ำไหล,คลองลาน,กำแพงเพชร,กลาง,16.194246,99.262301,ทัศนียภาพสวยงามเป็นที่พักผ่อนหย่อนใจ,เป็นน้ำตกเขตป่าดิบแล้งที่ยังสมบูรณ์ น้ำตกมี 9 ชั้น มีน้ำไหลตลอดปี แต่ละชั้นมีแอ่งน้ำและแก่งเกาะ  ที่มองดูคล้ายเกาะเล็ก ๆ อยู่กลางลำธาร  สำหรับชั้นที่เหมาะสำหรับการเล่นน้ำ คือ ชั้นที่ 3 น้ำตกจะแยกเป็นสายสวยงามสองสายทางฝั่งขวา ไหลลงสู่แอ่งน้ำกว่างประมาณ 3 เมตร
46,ถ้ำนเรศวร,4,ถ้ำ,บ้านมุง,เนินมะปราง,พิษณุโลก,กลาง,16.505,100.663611,แหล่งศึกษาธรรมชาติในพื้นที่ป่าสงวนแห่งชาติป่าลุ่มน้ำวังทองฝั่งซ้าย,"เป็นถ้ำในภูเขาหินปูนลึกประมาณ 150 เมตร ลักษณะปากเข้าถ้ำเล็กแคบต้องคลานเข้าไปประมาณ 10 เมตร แล้วจะพบห้องโถงขนาดใหญ่ภายในถ้ำมีหินงอกหินย้อย มีรูปร่างต่าง ๆ จำนวนมาก และยังมีหินที่เป็นประกายที่น่าสนใจอีกด้วย ภายในถ้ำนเรศวรนี้มีค้างคาวอาศัยอยู่เป็นจำนวนมาก เดิมชาวบ้านเรียกว่า ""ถ้ำโอ่ง"""
47,น้ำตกชาติตระการ,5,น้ำตก,ชาติตระการ,ชาติตระการ,พิษณุโลก,กลาง,17.297955,100.68333,แหล่งท่องเที่ยวสำคัญของจังหวัด,เป็นน้ำตกขนาดกลาง มีน้ำไหลตลอดปี หน้าผาบริเวณน้ำตกมีสีสันแตกต่างกัน ลักษณะน้ำตกเป็นม่านไหลลงมาสู่หน้าผา กว้างเกือบ 20 เมตร ลงสู่แอ่งน้ำกว้าง สวยงามมาก
48,น้ำตกแก่งโสภา,5,น้ำตก,บ้านแยง,วังทอง,พิษณุโลก,กลาง,16.871036,100.835106,แหล่งท่องเที่ยวสำคัญของจังหวัด,เป็นน้ำตกขนาดใหญ่มี 3 ชั้น ผ่านไปตามแก่งหินหลายแห่งมีความสูงประมาณ 40 เมตร ลักษณะเป็นแผ่นหินซ้อนกันสวยงาม บริเวณลำน้ำตกตอนบนเป็นแผ่นหินเรียบสามารถเดินข้ามได้ในช่วงน้ำน้อย สภาพทางธรรมชาติในบริเวณน้ำตกร่มรื่น
49,น้ำตกปอย,5,น้ำตก,แก่งโสภา,วังทอง,พิษณุโลก,กลาง,16.845944,100.750839,ทัศนียภาพสวยงามเป็นที่พักผ่อนหย่อนใจ,เป็นน้ำตกที่มีลานกว้างมาก มีชั้นเดียวเป็นโขดหิน สูงประมาณ 30 เมตร กว้าง ประมาณ 50 เมตร เป็นลำน้ำเดียวกับน้ำตกแก่งโสภา มีลักษณะคล้ายม่านตกลงมาเป็นปอยสวยงาม และเป็นน้ำตกที่อยู่กลางชุมชนบ้านปอยมีถนนข้ามลำน้ำเป็กตรงพื้นที่เหนือน้ำตก
