ชื่อย่านชุมชนเก่า,ตำบล,อำเภอ,จังหวัด,ภาค,ละติจูด,ลองจิจูด,ประกาศมรดกจังหวัด
ชุมชนบ้านหนองยาง,สงเปลือย,นามน,กาฬสินธุ์,ตะวันออกเฉียงเหนือ,16.60978288,103.8252415,
ชุมชนการค้าเก่า,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,ตะวันออกเฉียงเหนือ,16.43079732,103.5053143,
ชุมชนตำบลเหนือ,เหนือ,เมืองกาฬสินธุ์,กาฬสินธุ์,ตะวันออกเฉียงเหนือ,16.42971233,103.5631416,
ชุมชนบ้านหนองสามขา,หนองบัว,หนองกุงศรี,กาฬสินธุ์,ตะวันออกเฉียงเหนือ,16.71018459,103.4411199,
ชุมชนบ้านร่องคำหมี,คำบง,ห้วยผึ้ง,กาฬสินธุ์,ตะวันออกเฉียงเหนือ,16.6360326,103.8342552,
บ้านพรานกระต่าย,ถ้ำกระต่ายทอง,พรานกระต่าย,กำแพงเพชร,เหนือ,16.66950122,99.59049024,
นครชุม,นครชุม,เมืองกำแพงเพชร,กำแพงเพชร,เหนือ,16.48267322,99.49564307,
ชุมชนเมืองแอม,ดงเมืองเอม,เขาสวนกวาง,ขอนแก่น,ตะวันออกเฉียงเหนือ,16.82435101,102.8097399,
ชุมชนน้ำพอง,น้ำพอง,น้ำพอง,ขอนแก่น,ตะวันออกเฉียงเหนือ,16.70460136,102.8601291,
ชุมชนรอบพระธาตุขามแก่น,บ้านขาม,น้ำพอง,ขอนแก่น,ตะวันออกเฉียงเหนือ,16.55905327,102.9518705,
ชุมชนบ้านไผ่,บ้านไผ่,บ้านไผ่,ขอนแก่น,ตะวันออกเฉียงเหนือ,16.05944993,102.7371362,
ชุมชนเมืองเพีย,เมืองเพีย,บ้านไผ่,ขอนแก่น,ตะวันออกเฉียงเหนือ,16.07907353,102.6600531,
ชุมชนเมืองพล,เมืองพล,พล,ขอนแก่น,ตะวันออกเฉียงเหนือ,15.8175583,102.6020015,
ชุมชนย่านสถานีรถไฟ,ในเมือง,เมืองขอนแก่น,ขอนแก่น,ตะวันออกเฉียงเหนือ,16.44028351,102.8299461,
ตลาดขลุง,ขลุง,ขลุง,จันทบุรี,ตะวันออก,12.45513464,102.2227917,2/9/2020
ตลาดท่าใหม่,ท่าใหม่,ท่าใหม่,จันทบุรี,ตะวันออก,12.62151258,102.0080411,2/9/2020
ตลาดมะขาม,มะขาม,มะขาม,จันทบุรี,ตะวันออก,12.67406532,102.1980267,2/9/2020
ริมน้ำจันทบูร,จันทนิมิต,เมืองจันทบุรี,จันทบุรี,ตะวันออก,12.61016903,102.1182119,
ท่าแฉลบ,ตลาด,เมืองจันทบุรี,จันทบุรี,ตะวันออก,12.53636706,102.0579359,2/9/2020
ตลาดบางกะจะ,บางกะจะ,เมืองจันทบุรี,จันทบุรี,ตะวันออก,12.5829778,102.0531352,2/9/2020
หนองบัว,หนองบัว,เมืองจันทบุรี,จันทบุรี,ตะวันออก,12.54222285,102.1152537,2/9/2020
ตลาดพลิ้ว,พลิ้ว,แหลมสิงห์,จันทบุรี,ตะวันออก,12.50435431,102.1398599,2/9/2020
ตลาดบางคล้า,บางคล้า,บางคล้า,ฉะเชิงเทรา,ตะวันออก,13.72583909,101.2060058,21/1/2022
ตลาดคลอง 16,บึงน้ำรักษ์,บางน้ำเปรี้ยว,ฉะเชิงเทรา,ตะวันออก,13.96739308,100.9571175,
ตลาดคลองสวน,เทพราช,บ้านโพธิ์,ฉะเชิงเทรา,ตะวันออก,13.66174388,100.9566323,1/11/2023
บ้านท่าลาดเหนือ,ท่าถ่าน,พนมสารคาม,ฉะเชิงเทรา,ตะวันออก,13.72562317,101.3519636,21/1/2022
บ้านหัวกระสังข์,บ้านซ่อง,พนมสารคาม,ฉะเชิงเทรา,ตะวันออก,13.80156124,101.4086455,
ตลาดพนมสารคราม (ตลาดท่าเกวียน),พนมสารคาม,พนมสารคาม,ฉะเชิงเทรา,ตะวันออก,13.74794329,101.3479771,
ตลาดนครเนื่องเขต,คลองนครเนื่องเขต,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,ตะวันออก,13.77407473,100.9908342,1/11/2023
บ้านตลาดเปร็ง,คลองเปร็ง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,ตะวันออก,13.68225912,100.900919,
ตลาดหลวงแพ่ง,คลองหลวงแพ่ง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,ตะวันออก,13.70138069,100.8486426,
ย่านการค้าฉะเชิงเทรา,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,ตะวันออก,13.69068376,101.0810035,
ตลาดบ้านใหม่,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,ตะวันออก,13.69748941,101.0909165,
เกาะสีชัง,ท่าเทววงษ์,เกาะสีชัง,ชลบุรี,ตะวันออก,13.16329177,100.8079932,
ตลาดนาเกลือ (พัทยา),นาเกลือ,บางละมุง,ชลบุรี,ตะวันออก,12.98101142,100.9157363,
ตลาดทุ่งเหียง,หมอนนาง,พนัสนิคม,ชลบุรี,ตะวันออก,13.35793084,101.2270047,
ย่านถนนวชิรปราการ,บางปลาสร้อย,เมืองชลบุรี,ชลบุรี,ตะวันออก,13.36907741,100.9827958,
ตลาดหนองมน (บางแสน),แสนสุข,เมืองชลบุรี,ชลบุรี,ตะวันออก,13.27669873,100.9348982,
อ่างศิลา,อ่างศิลา,เมืองชลบุรี,ชลบุรี,ตะวันออก,13.33910168,100.9266215,
ตลาดเก่าศรีราชา,ศรีราชา,ศรีราชา,ชลบุรี,ตะวันออก,13.15166579,100.9019246,
ท้ายตลาดบ้านอำเภอ,นาจอมเทียน,สัตหีบ,ชลบุรี,ตะวันออก,12.81733147,100.9138161,
บางเสร่,บางเสร่,สัตหีบ,ชลบุรี,ตะวันออก,12.76351936,100.8868819,
ตลาดสัตหีบ,สัตหีบ,สัตหีบ,ชลบุรี,ตะวันออก,12.66204486,100.9002657,
บ้านเตาถ่าน,สัตหีบ,สัตหีบ,ชลบุรี,ตะวันออก,12.70262321,100.8933836,
ชุมชนบ้านท่าแขก,ศิลาด่าน,มโนรมย์,ชัยนาท,กลาง,15.35547517,100.0972027,
ชุมชนบ้านท่าลาภ,ธรรมามูล,เมืองชัยนาท,ชัยนาท,กลาง,15.21912683,100.0989841,
ชุมชนบ้านปากคลองมะขามเฒ่า,มะขามเฒ่า,วัดสิงห์,ชัยนาท,กลาง,15.26102122,100.0577581,
ชุมชนตลาดวัดสิงห์,วัดสิงห์,วัดสิงห์,ชัยนาท,กลาง,15.26187827,100.0424773,
ชุมชนตลาดโพนางดำ,โพนางดำ,สรรพยา,ชัยนาท,กลาง,15.07476771,100.2901054,
ชุมชนบ้านเก่า,บ้านยาง,เกษตรสมบูรณ์,ชัยภูมิ,ตะวันออกเฉียงเหนือ,16.28156395,101.953411,
ชุมชนนครกาหลง,คอนสวรรค์,คอนสวรรค์,ชัยภูมิ,ตะวันออกเฉียงเหนือ,15.94283874,102.3269737,
ชุมชนญัฮกรุ,วะตะแบก,เทพสถิต,ชัยภูมิ,ตะวันออกเฉียงเหนือ,15.39997803,101.4596,
ชุมชนบ้านเขว้า,บ้านเขว้า,บ้านเขว้า,ชัยภูมิ,ตะวันออกเฉียงเหนือ,15.77063074,101.9087924,
ชุมชนกุดโง้ง,กุดต้ม,เมืองชัยภูมิ,ชัยภูมิ,ตะวันออกเฉียงเหนือ,15.78627566,102.1111537,
ชุมชนเมืองเก่าบ้านหินตั้ง,ในเมือง,เมืองชัยภูมิ,ชัยภูมิ,ตะวันออกเฉียงเหนือ,15.80003298,102.0434887,
นาโพธิ์,นาโพธิ์,สวี,ชุมพร,ใต้,10.23635635,99.10459749,
ตลาดหลังสวน,หลังสวน,หลังสวน,ชุมพร,ใต้,9.951224168,99.077188,
บ้านหาดบ้าย,ริมโขง,เชียงของ,เชียงราย,เหนือ,20.36733247,100.252592,26/10/2023
บ้านศรีดอนชัย,ศรีดอนชัย,เชียงของ,เชียงราย,เหนือ,20.14346161,100.4148008,26/10/2023
เชียงแสน,บ้านโป่ง,เชียงแสน,เชียงราย,เหนือ,20.27410127,100.0836397,26/10/2023
บ้านโป่งน้ำร้อน,ดอยฮาง,เมืองเชียงราย,เชียงราย,เหนือ,19.93230037,99.68207859,26/10/2023
บ้านถ้ำผาตอง,ท่าสุด,เมืองเชียงราย,เชียงราย,เหนือ,20.0792696,99.89958634,26/10/2023
บ้านห้วยแม่ซ้าย (บ้านยะฟู),แม่ยาว,เมืองเชียงราย,เชียงราย,เหนือ,19.98418905,99.73088187,26/10/2023
บ้านกะเหรี่ยงรวมมิตร,แม่ยาว,เมืองเชียงราย,เชียงราย,เหนือ,19.96010429,99.71046044,26/10/2023
บ้านสันป่าก่อ,รอบเวียง,เมืองเชียงราย,เชียงราย,เหนือ,19.88727102,99.82921393,26/10/2023
บ้านจะคือ,ห้วยชมพู,เมืองเชียงราย,เชียงราย,เหนือ,20.03261224,99.53484958,
บ้านฮ่องแฮ่หลวง,แม่ไร่,แม่จัน,เชียงราย,เหนือ,20.26192133,99.88497769,26/10/2023
บ้านห้วยน้ำขุ่น,แม่ฟ้าหลวง,แม่ฟ้าหลวง,เชียงราย,เหนือ,20.2662984,99.83177998,
บ้านสันติคีรี,แม่สลองนอก,แม่ฟ้าหลวง,เชียงราย,เหนือ,20.17473436,99.60971786,
บ้านดอยหัวแม่คำ,แม่สลองใน,แม่ฟ้าหลวง,เชียงราย,เหนือ,20.36861913,99.47311118,
บ้านห้วยขี้เหล็ก,วาวี,แม่สรวย,เชียงราย,เหนือ,19.78091284,99.51732844,
บ้านแสนเจริญเก่า,วาวี,แม่สรวย,เชียงราย,เหนือ,19.73128493,99.5247511,
เวียงกาหลง,บ้านโป่ง,เวียงป่าเป้า,เชียงราย,เหนือ,19.20189769,99.53922175,
บ้านห้วยหินลาดใน,บ้านโป่ง,เวียงป่าเป้า,เชียงราย,เหนือ,19.29528322,99.377195,26/10/2023
บ้านห้วยน้ำริน,แม่เจดีย์ใหม่,เวียงป่าเป้า,เชียงราย,เหนือ,19.0647531,99.46761307,26/10/2023
บ้านป่าส้าน,เวียงกาหลง,เวียงป่าเป้า,เชียงราย,เหนือ,19.21223954,99.5387467,
บ้านวัดจันทร์,บ้านจันทร์,กัลยานิวัฒนา,เชียงใหม่,เหนือ,19.07446922,98.30410687,
บ้านแม่กลางหลวง,บ้านหลวง,จอมทอง,เชียงใหม่,เหนือ,18.53882749,98.55268652,
บ้านผาหมอน,บ้านหลวง,จอมทอง,เชียงใหม่,เหนือ,18.56433411,98.55396373,
บ้านถ้ำ,เชียงดาว,เชียงดาว,เชียงใหม่,เหนือ,19.39082798,98.92960522,
บ้านปางแดง,เชียงดาว,เชียงดาว,เชียงใหม่,เหนือ,19.34710664,99.03505392,
ย่านการค้าสี่แยกอำเภอดอยสะเก็ด,เชิงดอย,ดอยสะเก็ด,เชียงใหม่,เหนือ,18.87125765,99.13585518,
บ้านปางบง,เทพเสด็จ,ดอยสะเก็ด,เชียงใหม่,เหนือ,18.98428627,99.33550109,
บ้านขอบด้ง,ม่อนปิ่น,ฝาง,เชียงใหม่,เหนือ,19.92700141,99.05281909,
บ้านยาง,แม่งอน,ฝาง,เชียงใหม่,เหนือ,19.80333778,99.09381874,
บ้านฮ่อ,ช้างคลาน,เมืองเชียงใหม่,เชียงใหม่,เหนือ,18.78589059,99.00175808,
ย่านการค้า ถนนท่าแพ,ช้างคลาน,เมืองเชียงใหม่,เชียงใหม่,เหนือ,18.78813292,98.99312527,
บ้านช่างเคี่ยน,ช้างเผือก,เมืองเชียงใหม่,เชียงใหม่,เหนือ,18.81033065,98.95963298,
ย่านการค้า ถนนวิชยานนท์,ช้างม่อย,เมืองเชียงใหม่,เชียงใหม่,เหนือ,18.79105006,99.00004104,
ย่านถนนราชมรรคาและถนนสิงหราช,พระสิงห์,เมืองเชียงใหม่,เชียงใหม่,เหนือ,18.78808579,98.98182112,
พวกแต้ม,พระสิงห์,เมืองเชียงใหม่,เชียงใหม่,เหนือ,18.78226783,98.98286707,
ทรายมูลเมือง,พระสิงห์,เมืองเชียงใหม่,เชียงใหม่,เหนือ,18.78197228,98.99131667,
ย่านวัดเกตุ,วัดเกต,เมืองเชียงใหม่,เชียงใหม่,เหนือ,18.79299544,99.00266062,
ย่านการค้าถนนเจริญเมือง และย่านสถานีรถไฟ,วัดเกต,เมืองเชียงใหม่,เชียงใหม่,เหนือ,18.78253478,99.01319434,
ย่านสี่แยกตลาดช้างเผือก,ศรีภูมิ,เมืองเชียงใหม่,เชียงใหม่,เหนือ,18.79461016,98.98712472,
บ้านดอยปุย,สุเทพ,เมืองเชียงใหม่,เชียงใหม่,เหนือ,18.81800661,98.88428151,
บ้านวัวลาย,หายยา,เมืองเชียงใหม่,เชียงใหม่,เหนือ,18.77804606,98.98340271,
บ้านกองแขก,กองแขก,แม่แจ่ม,เชียงใหม่,เหนือ,18.43640712,98.39369476,
บ้านแม่สาใหม่,โป่งแยง,แม่ริม,เชียงใหม่,เหนือ,18.8671452,98.85415311,
เวียงแหง,เมืองแหง,เวียงแหง,เชียงใหม่,เหนือ,19.55462031,98.6401932,
ตลาดสันกำแพง,ยางเนิ้ง,สันกำแพง,เชียงใหม่,เหนือ,18.74331094,99.12189018,
บ้านปงไหว,ร้องวัวแดง,สันกำแพง,เชียงใหม่,เหนือ,18.74863264,99.17424442,
บ้านสันป่าสัก,สันทรายหลวง,สันทราย,เชียงใหม่,เหนือ,18.85904067,99.02806862,
ตลาดสันทราย,สันทรายหลวง,สันทราย,เชียงใหม่,เหนือ,18.85354582,99.04580706,
บ้านต้นแหนน้อย,ท่าวังพร้าว,สันป่าตอง,เชียงใหม่,เหนือ,18.54101719,98.85930137,
บ้านทุ่งเสี้ยว,บ้านกลาง,สันป่าตอง,เชียงใหม่,เหนือ,18.56435766,98.86851421,
ตลาดสันป่าตอง,บ้านแม,สันป่าตอง,เชียงใหม่,เหนือ,18.62651569,98.8965894,
เวียงกุมกาม,ท่าวังตาล,สารภี,เชียงใหม่,เหนือ,18.75203886,99.00680711,
ตลาดรอบสถานีรถไฟสารภี,ยางเนิ้ง,สารภี,เชียงใหม่,เหนือ,18.71118164,99.04035909,
บ้านแม่กำปอง,ห้วยแก้ว,ห้วยแก้ว,เชียงใหม่,เหนือ,18.86546942,99.34840833,
บ้านต้นเกว๋น,นองควาย,หางดง,เชียงใหม่,เหนือ,18.72339093,98.9230479,
ตลาดกันตัง,กันตัง,กันตัง,ตรัง,ใต้,7.408271487,99.51496882,6/8/2020
บ้านด่าน,ท่าข้าม,ปะเหลียน,ตรัง,ใต้,7.129270253,99.69414636,
ตลาดท่าข้าม,ท่าข้าม,ปะเหลียน,ตรัง,ใต้,7.173870078,99.68482539,6/8/2020
หยงสตาร์,ท่าข้าม,ปะเหลียน,ตรัง,ใต้,7.131176574,99.69584176,6/8/2020
ตลาดทุ่งยาว,ทุ่งยาว,ปะเหลียน,ตรัง,ใต้,7.210067886,99.72110161,6/8/2020
ย่านตาขาว,ย่านตาขาว,ปะเหลียน,ตรัง,ใต้,7.381612647,99.67407128,6/8/2020
ย่านเมืองทับเที่ยง,ทับเที่ยง,เมืองตรัง,ตรัง,ใต้,7.554369285,99.60846725,
ตลาดห้วยยอด,ห้วยยอด,ห้วยยอด,ตรัง,ใต้,7.786288753,99.63462017,6/8/2020
บ้านประมงสลักคอก,เกาะช้างใต้,เกาะช้าง,ตราด,ตะวันออก,12.02843175,102.3947692,
หมู่บ้านประมงบางเบ้า,เกาะช้างใต้,เกาะช้าง,ตราด,ตะวันออก,11.97126167,102.3136485,
หมู่บ้านประมงสลักเพชร,เกาะช้างใต้,เกาะช้าง,ตราด,ตะวันออก,11.99843709,102.3721956,
ย่านถนนธนเจริญและถนนหลักเมือง,บางพระ,เมืองตราด,ตราด,ตะวันออก,12.24452327,102.5121991,
ปากคลองน้ำเชี่ยว,หนองโสน,เมืองตราด,ตราด,ตะวันออก,12.17390649,102.4753154,
ประมงคลองใหญ่,คลองใหญ่,แหลมงอบ,ตราด,ตะวันออก,12.19174348,102.3701264,
การค้าถนนตราด-แหลมงอบ,แหลมงอบ,แหลมงอบ,ตราด,ตะวันออก,12.17089366,102.3940739,
บ้านตาก,ตากออก,บ้านตาก,ตาก,เหนือ,17.04237123,99.06429056,
ตรอกบ้านจีน,ระแหง,เมืองตาก,ตาก,เหนือ,16.86730724,99.1249639,
ชุมชนบ้านนา,บ้านนา,บ้านนา,นครนายก,ตะวันออก,14.26083095,101.0698662,
ชุมชนเกาะหวาย,เกาะหวาย,ปากพลี,นครนายก,ตะวันออก,14.16653759,101.2634767,
ชุมชนบ้านปากพลี,ปากพลี,ปากพลี,นครนายก,ตะวันออก,14.13681621,101.2850228,
ชุมชนหนองแสง,หนองแสง,ปากพลี,นครนายก,ตะวันออก,14.20183401,101.3000262,
ชุมชนตลาดเมืองนครนายก,นครนายก,เมืองนครนายก,นครนายก,ตะวันออก,14.20166123,101.214458,
ชุมชนบ้านวังยายฉิม,หินตั้ง,เมืองนครนายก,นครนายก,,14.26809272,101.2882007,
ชุมชนบ้านใหญ่,บางปลากด,องครักษ์,นครนายก,ตะวันออก,14.16381179,100.9373268,
ชุมชนตลาดกำแพงแสน,กำแพงแสน,กำแพงแสน,นครปฐม,กลาง,14.00114769,99.99026816,
ชุมชนตลาดนครชัยศรี (ตลาดท่านา),นครชัยศรี,นครชัยศรี,นครปฐม,กลาง,13.80139064,100.186026,
ชุมชนไทดำบ้านเกาะแรต,บางปลา,บางเลน,นครปฐม,กลาง,13.97137861,100.1379502,
ชุมชนตลาดบางเลน,บางเลน,บางเลน,นครปฐม,กลาง,14.02284542,100.1747835,
ชุมชนตลาดบางหลวง,บางหลวง,บางเลน,นครปฐม,กลาง,14.11643547,100.1124175,19-ก.พ.-24
ชุมชนตลาดลำพญา,ลำพญา,บางเลน,นครปฐม,กลาง,13.95723779,100.2058473,
ชุมชนรอบที่หยุดรถไฟคลองมหาสวัสดิ์,มหาสวัสดิ์,พุทธมณฑล,นครปฐม,กลาง,13.80943138,100.261062,
ชุมชนรอบสถานีรถไฟศาลายา,ศาลายา,พุทธมณฑล,นครปฐม,กลาง,13.80362421,100.3245269,
ชุมชนตลาดเมืองนครปฐม,พระปฐมเจดีย์,เมืองนครปฐม,นครปฐม,กลาง,13.82246884,100.0594759,
ชุมชนตลาดดอนหวาย,บางกระทึก,สามพราน,นครปฐม,กลาง,13.76773187,100.2851235,
ชุมชนริมน้ำวัดไร่ขิง,ไร่ขิง,สามพราน,นครปฐม,กลาง,13.74382832,100.2577966,
ชุมชนบ้านนาหนองบก,ไชยบุรี,ท่าอุเทน,นครพนม,ตะวันออกเฉียงเหนือ,17.67286482,104.4463567,
ชุมชนริมน้ำไชยบุรี,ไชยบุรี,ท่าอุเทน,นครพนม,ตะวันออกเฉียงเหนือ,17.65365841,104.46171,
ชุมชนท่าอุเทน,ท่าอุเทน,ท่าอุเทน,นครพนม,ตะวันออกเฉียงเหนือ,17.5765111,104.5989887,
ชุมชนธาตุพนม,ธาตุพนม,ธาตุพนม,นครพนม,ตะวันออกเฉียงเหนือ,16.94314729,104.7249048,
ชุมชนบ้านจอมศรี,ก้านเหลือง,นาแก,นครพนม,ตะวันออกเฉียงเหนือ,16.96391016,104.4209924,
ชุมชนบ้านนาผือ,คำพี้,นาแก,นครพนม,ตะวันออกเฉียงเหนือ,16.96651404,104.3988072,
ชุมชนบ้านแพง (เมืองท่า),บ้านแพง,บ้านแพง,นครพนม,ตะวันออกเฉียงเหนือ,17.96384694,104.2146952,
ชุมชนบ้านนาใน,นาใน,โพนสวรรค์,นครพนม,ตะวันออกเฉียงเหนือ,17.50148538,104.5396708,
ชุมชนบ้านกลางจาน,โพนจาน,โพนสวรรค์,นครพนม,ตะวันออกเฉียงเหนือ,17.43482617,104.4199523,
ชุมชนเมืองเก่า บ้านหนองจันทร์ (ศรีโคตรบูรณ์),ท่าค้อ,เมืองนครพนม,นครพนม,ตะวันออกเฉียงเหนือ,17.35388873,104.7873889,
ชุมชนเมือง,ในเมือง,เมืองนครพนม,นครพนม,ตะวันออกเฉียงเหนือ,17.39933255,104.7885996,
ชุมชนบ้านนาจอก (ลุงโฮ),หนองญาติ,เมืองนครพนม,นครพนม,ตะวันออกเฉียงเหนือ,17.37657695,104.7611166,
ชุมชนเรณูนคร,เรณู,เรณูนคร,นครพนม,ตะวันออกเฉียงเหนือ,17.05292565,104.6783094,
ชุมชนแหล่งเกลือโบราณบ้านศรีสงคราม,ศรีสงคราม,ศรีสงคราม,นครพนม,ตะวันออกเฉียงเหนือ,17.62664235,104.2431535,
ชุมชนบ้านปรางค์,บ้านปรางค์,คง,นครราชสีมา,ตะวันออกเฉียงเหนือ,15.49079305,102.0962641,24/9/2023
ชุมชนย่านตลาดปักธงชัย,เมืองปัก,ปักธงชัย,นครราชสีมา,ตะวันออกเฉียงเหนือ,14.72201289,102.0252842,
ชุมชนเมืองเก่าพิมาย,ในเมือง,พิมาย,นครราชสีมา,ตะวันออกเฉียงเหนือ,15.21926686,102.4935736,
ชุมชนเมืองเก่า,ในเมือง,เมืองนครราชสีมา,นครราชสีมา,ตะวันออกเฉียงเหนือ,14.97269488,102.106163,
ชุมชนย่านการค้าสีคิ้ว,สีคิ้ว,สีคิ้ว,นครราชสีมา,ตะวันออกเฉียงเหนือ,14.89059483,101.7259427,
ตลาดขนอม,ขนอม,ขนอม,นครศรีธรรมราช,ใต้,9.214672431,99.86018547,
ปากน้ำสิชล,สิชล,ขนอม,นครศรีธรรมราช,ใต้,9.017211632,99.91190202,
ตลาดปากเชียร (ตลาดออก-ตลาดตก),เชียรใหญ่,เชียรใหญ่,นครศรีธรรมราช,ใต้,8.171401024,100.1467648,20/12/2022
ตลาดปากแพรก,ทุ่งสง,ทุ่งสง,นครศรีธรรมราช,ใต้,8.167530272,99.67942205,
ตลาดปากพนัง,ปากพนัง,ปากพนัง,นครศรีธรรมราช,ใต้,8.349873247,100.1996153,20/12/2022
ตลาดท่าวัง,คลัง,เมืองนครศรีธรรมราช,นครศรีธรรมราช,ใต้,8.444004762,99.95988938,
ตลาดแขก,คลัง,เมืองนครศรีธรรมราช,นครศรีธรรมราช,ใต้,8.433406399,99.96360078,20/12/2022
ตลาดท่าม้า,คลัง,เมืองนครศรีธรรมราช,นครศรีธรรมราช,ใต้,8.421813499,99.96545689,
บ้านหมน,ท่าเรือ,เมืองนครศรีธรรมราช,นครศรีธรรมราช,ใต้,8.299222234,99.99275443,
เก้าเลี้ยว,เก้าเลี้ยว,เก้าเลี้ยว,นครสวรรค์,เหนือ,15.84816069,100.0743682,
ตลาดชุมแสง,เกยไชย,ชุมแสง,นครสวรรค์,เหนือ,15.89520289,100.3093062,
ตลาดทับกฤช,ทับกฤช,ชุมแสง,นครสวรรค์,เหนือ,15.7634599,100.2557954,
ตลาดตาคลี,ตาคลี,ตาคลี,นครสวรรค์,เหนือ,15.25815242,100.3484127,
ตลาดช่องแค,พรหมนิมิต,ตาคลี,นครสวรรค์,เหนือ,15.16849805,100.4150287,
ตลาดพยุหะคีรี,พยุหะ,พยุหะคีรี,นครสวรรค์,เหนือ,15.45606261,100.1375966,
ตะเคียนเลื่อน,ตะเคียนเลื่อน,เมืองนครสวรรค์,นครสวรรค์,เหนือ,15.62725881,100.0911911,
ตลาดริมน้ำปากน้ำโพ/ตลาดบ่อนไก่,ปากน้ำโพ,เมืองนครสวรรค์,นครสวรรค์,เหนือ,15.70189076,100.1372508,
ตลาดลาว,ปากน้ำโพ,เมืองนครสวรรค์,นครสวรรค์,เหนือ,15.70426824,100.1404417,
ชุมชนบ้านขุนกอง,บางขุนกอง,บางกรวย,นนทบุรี,กลาง,13.82155428,100.4325795,
ชุมชนตลาดน้ำบางคูเวียง,บางคูเวียง,บางกรวย,นนทบุรี,กลาง,13.82593241,100.4211672,
ชุมชนริมคลองอ้อมนนท์,บางสีทอง,บางกรวย,นนทบุรี,กลาง,13.83827866,100.4244518,
ชุมชนเกาะเกร็ด,เกาะเกร็ด,ปากเกร็ด,นนทบุรี,กลาง,13.90835017,100.4797208,
ชุมชนตลาดขวัญ,สวนใหญ่,เมืองนนทบุรี,นนทบุรี,กลาง,13.85739185,100.4809357,
ดุซงญอ,ดุซงญอ,จะแนะ,นราธิวาส,ใต้,6.171876876,101.7033959,
ตะโละมาเนาะ,ลุโบะสาวอ,บาเจาะ,นราธิวาส,ใต้,6.484403631,101.6566027,
บ้านทอน,โคกเคียน,เมืองนราธิวาส,นราธิวาส,ใต้,6.541646919,101.7470359,
บาเละฮีเล,บางนาค,เมืองนราธิวาส,นราธิวาส,ใต้,6.440299182,101.8261054,
ตลาดยี่งอ,ยี่งอ,ยี่งอ,นราธิวาส,ใต้,6.407761152,101.7040552,
